Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits,recent_avg_deposits,Status,Assigned Branch
JPMorgan Chase Bank,0,Wyandanch Compare Foods Branch,217,04/23/1960,01/18/1975,"1551 Straight Path Road, Assoc. Mkt.",Wyandanch,Suffolk,NY,11798,40.75205,-73.36144,19727.0,19658.0,20534.0,21076.0,20549.0,22264.0,23416,22076.333333333332,CLOSED,75
JPMorgan Chase Bank,0,North Patchogue Branch,222,03/28/1968,01/18/1975,472 Medford Avenue,North Patchogue,Suffolk,NY,11772,40.78404,-73.00877,84085.0,84929.0,87575.0,90701.0,93801.0,93201.0,105594,97532.0,CLOSED,89
JPMorgan Chase Bank,0,West Bay Shore Branch,223,04/04/1968,01/18/1975,840 Sunrise Highway,Bay Shore,Suffolk,NY,11706,40.72923,-73.27809,138095.0,137232.0,144709.0,158294.0,153951.0,160476.0,172331,162252.66666666666,CLOSED,111
JPMorgan Chase Bank,0,Huntington Branch,226,11/12/1968,01/18/1975,350 Main Street,Huntington,Suffolk,NY,11743,40.87074,-73.43057,468473.0,521308.0,555338.0,610032.0,606844.0,679446.0,714983,667091.0,CLOSED,76
JPMorgan Chase Bank,0,Mineola Court House Branch,235,06/29/1970,01/18/1975,216 Old Country Road,Mineola,Nassau,NY,11501,40.73882,-73.64001,274996.0,276252.0,290593.0,291617.0,287279.0,307242.0,307257,300592.6666666667,CLOSED,2
JPMorgan Chase Bank,0,East Farmingdale Branch,239,04/28/1971,01/18/1975,1745 Broad Hollow Road,East Farmingdale,Suffolk,NY,11735,40.74442,-73.42264,62842.0,95038.0,89987.0,122210.0,151270.0,132133.0,186493,156632.0,CLOSED,381
JPMorgan Chase Bank,0,Arthur Avenue Branch,245,11/24/1952,01/18/1975,2402 Arthur Avenue,Bronx,Bronx,NY,10458,40.8558,-73.88736,91268.0,89264.0,91370.0,98079.0,100594.0,104040.0,115766,106800.0,CLOSED,184
JPMorgan Chase Bank,0,Madison Avenue & 86th Street Branch,247,05/04/1964,01/18/1975,12 East 86th Street,New York City,New York,NY,10028,40.78133,-73.96007,409788.0,464061.0,482450.0,467755.0,463682.0,461811.0,482959,469484.0,CLOSED,166
JPMorgan Chase Bank,0,Hauppauge Branch,255,05/24/1972,01/18/1975,200 Motor Parkway,Hauppauge,Suffolk,NY,11788,40.80679,-73.25463,169328.0,177093.0,197653.0,208731.0,220078.0,250431.0,280743,250417.33333333334,CLOSED,262
JPMorgan Chase Bank,0,Macarthur Airport Vets Hwy Branch,257,10/25/1972,01/18/1975,4155 Veterans Memorial Highway,Ronkonkoma,Suffolk,NY,11779,40.78232,-73.09576,122497.0,116919.0,129243.0,132146.0,144141.0,152568.0,167321,154676.66666666666,CLOSED,112
JPMorgan Chase Bank,0,Smithtown Branch,272,01/12/1956,11/10/1975,42 West Main Street,Smithtown,Suffolk,NY,11787,40.85479,-73.19593,185851.0,190827.0,197592.0,220513.0,223066.0,242579.0,279616,248420.33333333334,CLOSED,180
JPMorgan Chase Bank,0,Stony Brook Branch,276,04/03/1970,11/10/1975,2210 Nesconset Highway,Stony Brook,Suffolk,NY,11790,40.87261,-73.12509,186061.0,207307.0,186930.0,193516.0,213523.0,216289.0,229279,219697.0,CLOSED,98
JPMorgan Chase Bank,0,Fort Salonga Branch,284,05/31/1974,11/10/1975,2 Fort Salonga Road,Fort Salonga,Suffolk,NY,11768,40.9124,-73.30051,87282.0,72358.0,88157.0,101644.0,102771.0,104226.0,132302,113099.66666666667,CLOSED,76
JPMorgan Chase Bank,0,Nanuet Driveup Branch,287,08/15/1961,04/01/1977,39 Smith Street,Nanuet,Rockland,NY,10954,41.11233,-74.01439,190614.0,202278.0,214019.0,225500.0,232985.0,231234.0,237031,233750.0,CLOSED,102
JPMorgan Chase Bank,0,New York North Branch,288,02/15/1958,04/01/1977,333 Route 303,Orangeburg,Rockland,NY,10962,41.04667,-73.94522,121750.0,131683.0,178281.0,165874.0,169818.0,167399.0,184491,173902.66666666666,CLOSED,233
JPMorgan Chase Bank,0,Valley Cottage Branch,290,12/02/1963,04/01/1977,124 Route 303,Valley Cottage,Rockland,NY,10989,41.11734,-73.94144,107207.0,111976.0,126575.0,129650.0,145166.0,152451.0,153305,150307.33333333334,CLOSED,102
JPMorgan Chase Bank,0,Yankee Stadium Branch,363,10/20/1928,10/26/1981,76 East 161st Street,Bronx,Bronx,NY,10451,40.82725,-73.92476,99634.0,108556.0,104552.0,112101.0,116762.0,121525.0,3480,80589.0,CLOSED,379
JPMorgan Chase Bank,0,North Shore Towers Branch,368,07/27/1982,,27258 Grand Central Parkway,Floral Park,Queens,NY,11005,40.75923,-73.71294,110305.0,108121.0,111895.0,113204.0,112600.0,115365.0,122485,116816.66666666667,CLOSED,182
